persona_sk,sexo_cod,edad,alfabetismo_cod,asistencia_escolar,nivel_educativo_cod,cotiza_pension_cod,actividad_economica_cod,sexo,alfabetismo,nivel_educativo,cotiza_pension,actividad_economica,grupo_edad
118,1,4,1,1,3,1,2,Hombre,Alfabeto,Primaria,Cotiza,Independiente,0-5
119,1,3,1,2,2,2,3,Hombre,Alfabeto,Preescolar,No cotiza,Desempleado,0-5
120,1,6,2,2,2,2,5,Hombre,Analfabeto,Preescolar,No cotiza,Ama de casa,6-12
121,1,6,1,2,3,1,2,Hombre,Alfabeto,Primaria,Cotiza,Independiente,6-12
122,1,2,2,1,2,2,5,Hombre,Analfabeto,Preescolar,No cotiza,Ama de casa,0-5
123,2,4,1,1,2,2,3,Mujer,Alfabeto,Preescolar,No cotiza,Desempleado,0-5
124,2,3,1,2,2,2,3,Mujer,Alfabeto,Preescolar,No cotiza,Desempleado,0-5
125,1,5,1,1,2,2,2,Hombre,Alfabeto,Preescolar,No cotiza,Independiente,6-12
126,2,4,1,2,2,2,4,Mujer,Alfabeto,Preescolar,No cotiza,Estudiante,0-5
127,2,6,1,2,2,2,2,Mujer,Alfabeto,Preescolar,No cotiza,Independiente,6-12
128,1,6,1,1,2,2,1,Hombre,Alfabeto,Preescolar,No cotiza,Empleado,6-12
129,1,2,2,1,1,2,5,Hombre,Analfabeto,Ninguno,No cotiza,Ama de casa,0-5
130,2,5,1,2,2,2,1,Mujer,Alfabeto,Preescolar,No cotiza,Empleado,6-12
131,1,6,1,2,3,2,1,Hombre,Alfabeto,Primaria,No cotiza,Empleado,6-12
132,2,5,1,2,2,3,5,Mujer,Alfabeto,Preescolar,,Ama de casa,6-12
133,2,5,1,2,3,2,2,Mujer,Alfabeto,Primaria,No cotiza,Independiente,6-12
134,2,5,1,1,2,2,3,Mujer,Alfabeto,Preescolar,No cotiza,Desempleado,6-12
135,1,6,1,2,2,1,5,Hombre,Alfabeto,Preescolar,Cotiza,Ama de casa,6-12
136,2,4,2,2,1,2,1,Mujer,Analfabeto,Ninguno,No cotiza,Empleado,0-5
137,1,6,1,2,3,2,2,Hombre,Alfabeto,Primaria,No cotiza,Independiente,6-12
138,2,2,1,1,1,2,2,Mujer,Alfabeto,Ninguno,No cotiza,Independiente,0-5
139,2,3,1,2,2,2,1,Mujer,Alfabeto,Preescolar,No cotiza,Empleado,0-5
140,1,5,1,1,3,1,2,Hombre,Alfabeto,Primaria,Cotiza,Independiente,6-12
141,1,5,1,2,3,2,3,Hombre,Alfabeto,Primaria,No cotiza,Desempleado,6-12
142,1,5,1,2,1,2,5,Hombre,Alfabeto,Ninguno,No cotiza,Ama de casa,6-12
143,2,2,2,1,2,2,2,Mujer,Analfabeto,Preescolar,No cotiza,Independiente,0-5
144,2,6,1,2,3,2,5,Mujer,Alfabeto,Primaria,No cotiza,Ama de casa,6-12
145,2,4,1,2,3,2,1,Mujer,Alfabeto,Primaria,No cotiza,Empleado,0-5
146,1,5,1,2,3,2,5,Hombre,Alfabeto,Primaria,No cotiza,Ama de casa,6-12
147,1,4,1,2,3,2,1,Hombre,Alfabeto,Primaria,No cotiza,Empleado,0-5
148,2,4,1,1,2,2,2,Mujer,Alfabeto,Preescolar,No cotiza,Independiente,0-5
149,2,4,1,1,2,2,5,Mujer,Alfabeto,Preescolar,No cotiza,Ama de casa,0-5
150,1,4,2,2,1,2,2,Hombre,Analfabeto,Ninguno,No cotiza,Independiente,0-5
151,2,6,1,2,2,2,3,Mujer,Alfabeto,Preescolar,No cotiza,Desempleado,6-12
152,2,5,1,2,1,2,1,Mujer,Alfabeto,Ninguno,No cotiza,Empleado,6-12
153,1,4,1,1,2,2,2,Hombre,Alfabeto,Preescolar,No cotiza,Independiente,0-5
154,1,6,2,2,1,3,5,Hombre,Analfabeto,Ninguno,,Ama de casa,6-12
155,1,5,1,2,2,1,5,Hombre,Alfabeto,Preescolar,Cotiza,Ama de casa,6-12
156,2,2,1,2,2,2,1,Mujer,Alfabeto,Preescolar,No cotiza,Empleado,0-5
157,2,6,1,2,3,1,2,Mujer,Alfabeto,Primaria,Cotiza,Independiente,6-12
158,1,6,2,2,1,2,2,Hombre,Analfabeto,Ninguno,No cotiza,Independiente,6-12
159,2,5,1,2,2,1,3,Mujer,Alfabeto,Preescolar,Cotiza,Desempleado,6-12
160,2,4,1,2,3,2,4,Mujer,Alfabeto,Primaria,No cotiza,Estudiante,0-5
161,1,2,1,1,1,2,5,Hombre,Alfabeto,Ninguno,No cotiza,Ama de casa,0-5
162,1,6,2,2,2,2,2,Hombre,Analfabeto,Preescolar,No cotiza,Independiente,6-12
163,1,4,2,2,1,2,3,Hombre,Analfabeto,Ninguno,No cotiza,Desempleado,0-5
164,2,3,1,1,2,2,5,Mujer,Alfabeto,Preescolar,No cotiza,Ama de casa,0-5
165,1,3,1,1,2,2,1,Hombre,Alfabeto,Preescolar,No cotiza,Empleado,0-5
166,2,5,1,2,3,2,1,Mujer,Alfabeto,Primaria,No cotiza,Empleado,6-12
167,1,2,1,2,2,2,2,Hombre,Alfabeto,Preescolar,No cotiza,Independiente,0-5
168,1,4,1,1,2,2,3,Hombre,Alfabeto,Preescolar,No cotiza,Desempleado,0-5
169,2,6,1,1,2,1,5,Mujer,Alfabeto,Preescolar,Cotiza,Ama de casa,6-12
170,1,4,1,2,2,1,3,Hombre,Alfabeto,Preescolar,Cotiza,Desempleado,0-5
171,1,3,1,2,2,2,1,Hombre,Alfabeto,Preescolar,No cotiza,Empleado,0-5
172,2,4,1,1,3,2,3,Mujer,Alfabeto,Primaria,No cotiza,Desempleado,0-5
173,1,3,2,1,2,2,4,Hombre,Analfabeto,Preescolar,No cotiza,Estudiante,0-5
174,2,5,1,1,3,1,2,Mujer,Alfabeto,Primaria,Cotiza,Independiente,6-12
175,1,4,1,1,3,2,3,Hombre,Alfabeto,Primaria,No cotiza,Desempleado,0-5
176,1,1,2,2,1,2,5,Hombre,Analfabeto,Ninguno,No cotiza,Ama de casa,0-5
177,1,5,1,2,1,2,1,Hombre,Alfabeto,Ninguno,No cotiza,Empleado,6-12
178,1,6,2,2,2,2,1,Hombre,Analfabeto,Preescolar,No cotiza,Empleado,6-12
179,2,6,1,2,2,1,5,Mujer,Alfabeto,Preescolar,Cotiza,Ama de casa,6-12
180,2,6,1,2,2,1,2,Mujer,Alfabeto,Preescolar,Cotiza,Independiente,6-12
181,2,6,1,2,1,2,1,Mujer,Alfabeto,Ninguno,No cotiza,Empleado,6-12
182,1,4,1,1,2,2,1,Hombre,Alfabeto,Preescolar,No cotiza,Empleado,0-5
183,1,2,1,2,1,2,5,Hombre,Alfabeto,Ninguno,No cotiza,Ama de casa,0-5
184,2,6,1,1,2,2,2,Mujer,Alfabeto,Preescolar,No cotiza,Independiente,6-12
185,2,5,2,2,2,2,5,Mujer,Analfabeto,Preescolar,No cotiza,Ama de casa,6-12
186,1,5,2,2,2,2,3,Hombre,Analfabeto,Preescolar,No cotiza,Desempleado,6-12
187,1,1,2,1,1,2,2,Hombre,Analfabeto,Ninguno,No cotiza,Independiente,0-5
188,2,6,1,1,2,2,5,Mujer,Alfabeto,Preescolar,No cotiza,Ama de casa,6-12
189,2,6,1,2,3,1,5,Mujer,Alfabeto,Primaria,Cotiza,Ama de casa,6-12
190,1,6,1,2,2,3,2,Hombre,Alfabeto,Preescolar,,Independiente,6-12
191,1,4,1,2,2,1,1,Hombre,Alfabeto,Preescolar,Cotiza,Empleado,0-5
192,1,1,1,1,1,2,5,Hombre,Alfabeto,Ninguno,No cotiza,Ama de casa,0-5
193,1,2,2,2,1,2,5,Hombre,Analfabeto,Ninguno,No cotiza,Ama de casa,0-5
194,2,4,1,1,2,1,2,Mujer,Alfabeto,Preescolar,Cotiza,Independiente,0-5
195,1,2,2,2,1,2,2,Hombre,Analfabeto,Ninguno,No cotiza,Independiente,0-5
196,2,2,1,1,1,2,5,Mujer,Alfabeto,Ninguno,No cotiza,Ama de casa,0-5
197,1,4,1,1,2,1,4,Hombre,Alfabeto,Preescolar,Cotiza,Estudiante,0-5
198,2,4,1,1,3,1,4,Mujer,Alfabeto,Primaria,Cotiza,Estudiante,0-5
199,2,3,1,1,3,2,4,Mujer,Alfabeto,Primaria,No cotiza,Estudiante,0-5
200,1,2,2,1,2,2,4,Hombre,Analfabeto,Preescolar,No cotiza,Estudiante,0-5
201,2,4,1,1,3,2,1,Mujer,Alfabeto,Primaria,No cotiza,Empleado,0-5
202,2,1,1,1,2,2,2,Mujer,Alfabeto,Preescolar,No cotiza,Independiente,0-5
203,2,6,1,2,2,3,1,Mujer,Alfabeto,Preescolar,,Empleado,6-12
204,2,6,1,2,3,2,2,Mujer,Alfabeto,Primaria,No cotiza,Independiente,6-12
205,1,6,1,1,2,2,2,Hombre,Alfabeto,Preescolar,No cotiza,Independiente,6-12
206,2,4,1,2,2,1,5,Mujer,Alfabeto,Preescolar,Cotiza,Ama de casa,0-5
207,2,6,2,1,1,3,5,Mujer,Analfabeto,Ninguno,,Ama de casa,6-12
208,2,4,2,2,1,2,5,Mujer,Analfabeto,Ninguno,No cotiza,Ama de casa,0-5
209,1,6,1,2,1,2,5,Hombre,Alfabeto,Ninguno,No cotiza,Ama de casa,6-12
210,1,6,2,2,1,2,3,Hombre,Analfabeto,Ninguno,No cotiza,Desempleado,6-12
211,2,4,1,1,2,1,4,Mujer,Alfabeto,Preescolar,Cotiza,Estudiante,0-5
212,2,1,2,2,1,2,2,Mujer,Analfabeto,Ninguno,No cotiza,Independiente,0-5
213,1,5,2,2,1,1,2,Hombre,Analfabeto,Ninguno,Cotiza,Independiente,6-12
214,1,6,1,2,1,1,5,Hombre,Alfabeto,Ninguno,Cotiza,Ama de casa,6-12
215,2,5,2,1,2,1,2,Mujer,Analfabeto,Preescolar,Cotiza,Independiente,6-12
216,1,5,1,2,1,2,2,Hombre,Alfabeto,Ninguno,No cotiza,Independiente,6-12
217,2,5,2,2,1,2,2,Mujer,Analfabeto,Ninguno,No cotiza,Independiente,6-12
218,2,6,1,2,2,1,1,Mujer,Alfabeto,Preescolar,Cotiza,Empleado,6-12
219,2,4,1,2,3,1,4,Mujer,Alfabeto,Primaria,Cotiza,Estudiante,0-5
220,2,1,2,1,1,2,2,Mujer,Analfabeto,Ninguno,No cotiza,Independiente,0-5
221,2,4,1,2,2,1,3,Mujer,Alfabeto,Preescolar,Cotiza,Desempleado,0-5
222,2,4,1,1,3,1,3,Mujer,Alfabeto,Primaria,Cotiza,Desempleado,0-5
223,1,4,1,2,3,1,3,Hombre,Alfabeto,Primaria,Cotiza,Desempleado,0-5
224,1,5,2,2,2,2,5,Hombre,Analfabeto,Preescolar,No cotiza,Ama de casa,6-12
225,2,5,2,2,2,2,2,Mujer,Analfabeto,Preescolar,No cotiza,Independiente,6-12
226,2,6,2,2,1,2,3,Mujer,Analfabeto,Ninguno,No cotiza,Desempleado,6-12
227,1,6,1,1,2,3,5,Hombre,Alfabeto,Preescolar,,Ama de casa,6-12
228,2,5,1,1,2,2,4,Mujer,Alfabeto,Preescolar,No cotiza,Estudiante,6-12
229,1,3,1,1,2,2,3,Hombre,Alfabeto,Preescolar,No cotiza,Desempleado,0-5
230,1,4,2,2,1,2,1,Hombre,Analfabeto,Ninguno,No cotiza,Empleado,0-5
231,1,5,1,1,2,1,2,Hombre,Alfabeto,Preescolar,Cotiza,Independiente,6-12
232,2,3,1,1,3,2,1,Mujer,Alfabeto,Primaria,No cotiza,Empleado,0-5
233,1,5,1,2,2,1,1,Hombre,Alfabeto,Preescolar,Cotiza,Empleado,6-12
234,1,3,1,2,2,2,2,Hombre,Alfabeto,Preescolar,No cotiza,Independiente,0-5
235,2,1,1,1,1,2,2,Mujer,Alfabeto,Ninguno,No cotiza,Independiente,0-5
236,1,6,1,2,2,1,1,Hombre,Alfabeto,Preescolar,Cotiza,Empleado,6-12
237,2,5,1,1,3,2,2,Mujer,Alfabeto,Primaria,No cotiza,Independiente,6-12
238,1,6,1,2,3,1,5,Hombre,Alfabeto,Primaria,Cotiza,Ama de casa,6-12
239,1,4,1,1,3,2,2,Hombre,Alfabeto,Primaria,No cotiza,Independiente,0-5
240,1,5,1,2,3,1,3,Hombre,Alfabeto,Primaria,Cotiza,Desempleado,6-12
241,2,5,2,2,2,2,3,Mujer,Analfabeto,Preescolar,No cotiza,Desempleado,6-12
242,2,6,1,2,2,3,2,Mujer,Alfabeto,Preescolar,,Independiente,6-12
243,1,6,2,1,1,2,5,Hombre,Analfabeto,Ninguno,No cotiza,Ama de casa,6-12
244,1,6,1,2,3,3,2,Hombre,Alfabeto,Primaria,,Independiente,6-12
245,1,4,2,1,1,2,1,Hombre,Analfabeto,Ninguno,No cotiza,Empleado,0-5
246,1,5,1,2,3,3,5,Hombre,Alfabeto,Primaria,,Ama de casa,6-12
247,1,5,2,2,2,1,2,Hombre,Analfabeto,Preescolar,Cotiza,Independiente,6-12
248,1,6,1,2,3,2,5,Hombre,Alfabeto,Primaria,No cotiza,Ama de casa,6-12
249,2,5,1,1,2,2,2,Mujer,Alfabeto,Preescolar,No cotiza,Independiente,6-12
250,2,6,1,2,1,3,5,Mujer,Alfabeto,Ninguno,,Ama de casa,6-12
251,1,5,1,2,2,3,1,Hombre,Alfabeto,Preescolar,,Empleado,6-12
252,2,2,2,2,1,2,1,Mujer,Analfabeto,Ninguno,No cotiza,Empleado,0-5
253,2,6,2,2,1,3,5,Mujer,Analfabeto,Ninguno,,Ama de casa,6-12
254,1,2,1,1,2,2,1,Hombre,Alfabeto,Preescolar,No cotiza,Empleado,0-5
255,1,3,2,2,1,2,1,Hombre,Analfabeto,Ninguno,No cotiza,Empleado,0-5
256,1,1,2,2,1,2,2,Hombre,Analfabeto,Ninguno,No cotiza,Independiente,0-5
257,1,4,2,2,2,2,2,Hombre,Analfabeto,Preescolar,No cotiza,Independiente,0-5
258,1,6,1,2,2,1,3,Hombre,Alfabeto,Preescolar,Cotiza,Desempleado,6-12
259,1,3,2,2,1,2,5,Hombre,Analfabeto,Ninguno,No cotiza,Ama de casa,0-5
260,2,3,1,1,2,2,1,Mujer,Alfabeto,Preescolar,No cotiza,Empleado,0-5
261,2,5,1,1,3,2,4,Mujer,Alfabeto,Primaria,No cotiza,Estudiante,6-12
262,1,3,1,1,2,3,4,Hombre,Alfabeto,Preescolar,,Estudiante,0-5
263,1,6,2,2,2,2,3,Hombre,Analfabeto,Preescolar,No cotiza,Desempleado,6-12
264,2,4,1,1,2,2,1,Mujer,Alfabeto,Preescolar,No cotiza,Empleado,0-5
265,2,6,1,2,1,2,2,Mujer,Alfabeto,Ninguno,No cotiza,Independiente,6-12
266,1,2,1,1,1,2,4,Hombre,Alfabeto,Ninguno,No cotiza,Estudiante,0-5
267,2,4,1,2,3,1,5,Mujer,Alfabeto,Primaria,Cotiza,Ama de casa,0-5
268,2,5,1,2,3,1,3,Mujer,Alfabeto,Primaria,Cotiza,Desempleado,6-12
269,2,2,2,1,2,2,1,Mujer,Analfabeto,Preescolar,No cotiza,Empleado,0-5
270,1,5,1,1,2,2,3,Hombre,Alfabeto,Preescolar,No cotiza,Desempleado,6-12
271,2,5,1,1,3,2,3,Mujer,Alfabeto,Primaria,No cotiza,Desempleado,6-12
272,2,5,1,1,2,2,1,Mujer,Alfabeto,Preescolar,No cotiza,Empleado,6-12
273,1,4,2,2,2,2,1,Hombre,Analfabeto,Preescolar,No cotiza,Empleado,0-5
274,2,6,2,2,2,1,5,Mujer,Analfabeto,Preescolar,Cotiza,Ama de casa,6-12
275,1,2,2,1,1,2,4,Hombre,Analfabeto,Ninguno,No cotiza,Estudiante,0-5
276,1,4,1,2,2,1,5,Hombre,Alfabeto,Preescolar,Cotiza,Ama de casa,0-5
277,2,5,1,1,3,1,5,Mujer,Alfabeto,Primaria,Cotiza,Ama de casa,6-12
278,2,6,2,2,1,3,1,Mujer,Analfabeto,Ninguno,,Empleado,6-12
279,1,5,1,1,2,2,1,Hombre,Alfabeto,Preescolar,No cotiza,Empleado,6-12
280,2,6,1,1,2,3,5,Mujer,Alfabeto,Preescolar,,Ama de casa,6-12
